station_code,lon,lat
G230901,130.8625,45.8194
G230902,131.0032,45.7677
G230903,130.9467,45.8309
G460201,109.5077,18.249083
G460202,109.496315,18.2683
G350401,117.6028,26.2378
G350402,117.6353,26.2708
G350403,117.6211,26.2625
G350404,117.7275,26.3108
G411201,111.185833,34.791667
G411202,111.1927778,34.77722222
G411203,111.158,34.794
G411204,111.1488889,34.79972222
G310001,121.478,31.2036
G310002,121.412,31.1654
G310003,121.4,31.238
G310004,121.536,31.2659
G310005,121.703,31.1907
G310006,121.577,31.2071
G310007,121.533,31.2284
G310008,121.467,31.3008
G310009,120.978,31.0935
G310010,121.425,31.2261
G361101,117.9511,28.4622
G361102,117.973,28.4459
G361103,117.9033,28.4303
G361104,118.0058,28.4569
G441901,113.782,23.0536
G441902,113.794,23.0128
G441903,113.746,23.0278
G441904,113.738,22.9658
G441905,113.748,23.06
G370501,118.660833,37.431389
G370502,118.8191667,37.3780556
G370503,118.5527778,37.44444444
G370504,118.5022222,37.4658333
G640501,105.1712182,36.995215
G640502,105.0066707,37.4656794
G640503,105.1971746,37.4993565
G442001,113.369,22.5211
G442002,113.365,22.5481
G442003,113.402,22.5078
G442004,113.434,22.4886
G622901,103.2064,35.5997
G622902,103.2139,35.6039
G330101,119.6947222,30.2319444
G330102,119.7186111,30.2366667
G141001,111.5531,36.0783
G141002,111.491667,36.041667
G141003,111.5169,36.0822
G141004,111.5025,36.0875
G141005,111.4793079,35.6540506
G141006,111.5028,36.0714
G371301,118.291501,35.002802
G371302,118.355159,35.057898
G371303,118.4023333,35.08972222
G371304,118.310787,35.059478
G530901,100.0782,23.8982
G530902,100.0869,23.8822
G210601,124.426767,40.157134
G210602,124.3858609,40.147836
G210603,124.152274,39.885819
G210604,124.3399539,40.0674054
G331101,119.879,28.4231
G331102,119.914,28.4514
G331103,119.93,28.4586
G530701,100.2497,26.8802
G530702,100.2203,26.8906
G530703,100.2143,26.8576
G330701,120.0786111,29.3353639
G330702,120.0905556,29.3049639
G150901,113.1306,40.9923
G150902,113.0974,41.038
G150301,106.7931,39.6572
G150302,106.8089,39.6969
G150303,106.8219,39.6719
G650101,87.4171,43.8729
G650102,87.6432,43.831
G650103,87.6046,43.768
G650104,87.4754,43.9469
G650105,87.5801,43.8303
G650106,87.6444,43.962
G650107,87.5525,43.8711
G511101,103.7705,29.5467
G511102,103.757,29.5634
G511103,103.7506,29.6007
G511104,103.7627,29.5844
G360401,116.017444,29.653472
G360402,115.987222,29.681556
G360403,115.993611,29.586667
G360404,116.06275,29.692611
G360405,116.08925,29.753361
G360406,115.911444,29.603889
G360407,115.958139,29.70475
G360408,115.988,29.729222
G371001,121.542,36.9296
G371002,121.5357,36.9132
G445301,112.036944,22.939444
G445302,112.039167,22.916944
G445303,112.053888,22.953889
G659001,87.5475,44.1756
G341601,115.7831,33.8561
G341602,115.8067,33.8399
G230701,128.8736,47.7222
G230702,128.9094,47.7317
G230703,129.4942,48.4658
G654001,81.2815,43.9404
G654002,81.2867,43.895
G654003,81.3364,43.941
G440601,112.863,23.1886
G440602,112.885,23.1572
G440603,113.105,23.0395
G440604,113.144,23.0467
G440605,113.257,22.7629
G440606,113.134,23.0048
G440607,113.292,22.8054
G440608,112.844,22.8693
G230801,130.2719,46.8025
G230802,130.3648,46.8032
G230803,130.3961,46.8267
G230804,130.3794,46.7588
G230805,130.3258,46.7975
G130601,115.522,38.896
G130602,115.461,38.842
G130603,115.471,38.911
G130604,115.493,38.863
G130605,115.521,38.871
G130606,115.442,38.876
G530501,99.1678,25.1081
G530502,99.1711,25.1328
G411501,114.0122222,32.138
G411502,114.0613889,32.108
G411503,114.077,32.119
G411504,114.1044444,32.134
G653001,76.1861,39.7153
G650201,85.692613,46.089847
G650202,84.888889,45.599722
G650203,84.904167,44.342778
G650204,84.123333,45.688333
G650205,84.886111,45.603333
G341501,116.5661,31.7712
G341502,116.5068,31.7797
G341503,116.478,31.7618
G341504,116.508,31.7371
G520201,104.9544,26.5506
G520202,104.8475,26.5894
