id,station_code,file_code,province_code,province,city_code,city_code_short,city_full,city,city_old,station_name,type,district,province_en,city_en,lon,lat,source,station_code_cnemc,remark
2,G230901,2261A,23,黑龙江,230900,2309,七台河市,七台河,七台河市,新建,国控站,,Heilongjiang,Qitaihe,130.8625,45.8194,3,,
3,G230902,2260A,23,黑龙江,230900,2309,七台河市,七台河,七台河市,环保局,国控站,,Heilongjiang,Qitaihe,131.0032,45.7677,3,230900061,
4,G230903,2262A,23,黑龙江,230900,2309,七台河市,七台河,七台河市,葫头沟,国控站,,Heilongjiang,Qitaihe,130.9467,45.8309,3,230900001,对照点
5,G460201,1876A,46,海南,460200,4602,三亚市,三亚,三亚市,河东子站,国控站,,Hainan,Sanya,109.5077,18.249083,3,460200053,
6,G460202,1877A,46,海南,460200,4602,三亚市,三亚,三亚市,河西子站,国控站,,Hainan,Sanya,109.496315,18.2683,3,460200054,
7,G350401,2326A,35,福建,350400,3504,三明市,三明,三明市,三元区政府,国控站,,Fujian,Sanming,117.6028,26.2378,3,350400112,
8,G350402,2325A,35,福建,350400,3504,三明市,三明,三明市,三明二中,国控站,,Fujian,Sanming,117.6353,26.2708,3,350400111,
9,G350403,2324A,35,福建,350400,3504,三明市,三明,三明市,三钢,国控站,,Fujian,Sanming,117.6211,26.2625,3,350400094,
10,G350404,2327A,35,福建,350400,3504,三明市,三明,三明市,洋溪,国控站,,Fujian,Sanming,117.7275,26.3108,3,350400021,对照点
11,G411201,1837A,41,河南,411200,4112,三门峡市,三门峡,三门峡市,二印,国控站,,Henan,Sanmenxia,111.185833,34.791667,3,,
12,G411202,1835A,41,河南,411200,4112,三门峡市,三门峡,三门峡市,市政府,国控站,,Henan,Sanmenxia,111.1927778,34.77722222,3,411200403,
13,G411203,1836A,41,河南,411200,4112,三门峡市,三门峡,三门峡市,开发区,国控站,,Henan,Sanmenxia,111.158,34.794,3,411200406,
14,G411204,1838A,41,河南,411200,4112,三门峡市,三门峡,三门峡市,风景区,国控站,,Henan,Sanmenxia,111.1488889,34.79972222,3,411200003,对照点
15,G310001,1142A,31,上海,310000,3100,上海市,上海,上海市,十五厂,国控站,,Shanghai,Shanghai,121.478,31.2036,3,310000053,
16,G310002,1144A,31,上海,310000,3100,上海市,上海,上海市,徐汇上师大,国控站,,Shanghai,Shanghai,121.412,31.1654,3,310000057,
17,G310003,1141A,31,上海,310000,3100,上海市,上海,上海市,普陀,国控站,,Shanghai,Shanghai,121.4,31.238,3,310000051,
18,G310004,1145A,31,上海,310000,3100,上海市,上海,上海市,杨浦四漂,国控站,,Shanghai,Shanghai,121.536,31.2659,3,310000052,
19,G310005,1148A,31,上海,310000,3100,上海市,上海,上海市,浦东川沙,国控站,,Shanghai,Shanghai,121.703,31.1907,3,310000251,
20,G310006,1150A,31,上海,310000,3100,上海市,上海,上海市,浦东张江,国控站,,Shanghai,Shanghai,121.577,31.2071,3,310000059,
21,G310007,1149A,31,上海,310000,3100,上海市,上海,上海市,浦东新区监测站,国控站,,Shanghai,Shanghai,121.533,31.2284,3,310000058,
22,G310008,1143A,31,上海,310000,3100,上海市,上海,上海市,虹口,国控站,,Shanghai,Shanghai,121.467,31.3008,3,310000055,
23,G310009,1146A,31,上海,310000,3100,上海市,上海,上海市,青浦淀山湖,国控站,,Shanghai,Shanghai,120.978,31.0935,3,310000004,对照点
24,G310010,1147A,31,上海,310000,3100,上海市,上海,上海市,静安监测站,国控站,,Shanghai,Shanghai,121.425,31.2261,3,310000056,
25,G361101,2383A,36,江西,361100,3611,上饶市,上饶,上饶市,凤凰光学,国控站,,Jiangxi,Shangrao,117.9511,28.4622,3,362300408,
26,G361102,2382A,36,江西,361100,3611,上饶市,上饶,上饶市,市监测站,国控站,,Jiangxi,Shangrao,117.973,28.4459,3,362300401,
27,G361103,2384A,36,江西,361100,3611,上饶市,上饶,上饶市,开发区管委会,国控站,,Jiangxi,Shangrao,117.9033,28.4303,3,362300410,
28,G361104,2381A,36,江西,361100,3611,上饶市,上饶,上饶市,百草园,国控站,,Jiangxi,Shangrao,118.0058,28.4569,3,362300001,对照点
29,G441901,1387A,44,广东,441900,4419,东莞市,东莞,东莞市,东城主山,国控站,,Guangdong,Dongguan,113.782,23.0536,1,441900403,
30,G441902,1390A,44,广东,441900,4419,东莞市,东莞,东莞市,东城石井,国控站,,Guangdong,Dongguan,113.794,23.0128,3,441900404,
31,G441903,1388A,44,广东,441900,4419,东莞市,东莞,东莞市,南城元岭,国控站,,Guangdong,Dongguan,113.746,23.0278,3,441900401,
32,G441904,1391A,44,广东,441900,4419,东莞市,东莞,东莞市,南城西平,国控站,,Guangdong,Dongguan,113.738,22.9658,3,441900405,
33,G441905,1389A,44,广东,441900,4419,东莞市,东莞,东莞市,莞城梨川,国控站,,Guangdong,Dongguan,113.748,23.06,1,441900402,
34,G370501,1666A,37,山东,370500,3705,东营市,东营,东营市,市环保局,国控站,东营区,Shandong,Dongying,118.660833,37.431389,3,370500052,
35,G370502,1668A,37,山东,370500,3705,东营市,东营,东营市,广南水库,国控站,,Shandong,Dongying,118.8191667,37.3780556,3,,
36,G370503,1667A,37,山东,370500,3705,东营市,东营,东营市,耿井村,国控站,东营区,Shandong,Dongying,118.5527778,37.44444444,3,370500053,
37,G370504,1665A,37,山东,370500,3705,东营市,东营,东营市,西城阳光环保公司,国控站,,Shandong,Dongying,118.5022222,37.4658333,3,370500051,
38,G640501,2681A,64,宁夏,640500,6405,中卫市,中卫,中卫市,官桥站,国控站,,Ningxia,Zhongwei,105.1712182,36.995215,3,640500080,
39,G640502,2680A,64,宁夏,640500,6405,中卫市,中卫,中卫市,沙坡头消防站,国控站,,Ningxia,Zhongwei,105.0066707,37.4656794,3,640500005,对照点
40,G640503,2682A,64,宁夏,640500,6405,中卫市,中卫,中卫市,环保局站,国控站,,Ningxia,Zhongwei,105.1971746,37.4993565,3,640500081,
41,G442001,1379A,44,广东,442000,4420,中山市,中山,中山市,华柏园,国控站,,Guangdong,Zhongshan,113.369,22.5211,3,442000051,
42,G442002,1380A,44,广东,442000,4420,中山市,中山,中山市,张溪,国控站,,Guangdong,Zhongshan,113.365,22.5481,3,442000052,
43,G442003,1381A,44,广东,442000,4420,中山市,中山,中山市,紫马岭,国控站,,Guangdong,Zhongshan,113.402,22.5078,3,442000053,
44,G442004,1382A,44,广东,442000,4420,中山市,中山,中山市,长江旅游区,国控站,,Guangdong,Zhongshan,113.434,22.4886,3,442000010,对照点
45,G622901,2668A,62,甘肃,622900,6229,临夏回族自治州,临夏,临夏回族自治州,州委党校,国控站,,Gansu,Linxia,103.2064,35.5997,3,622900492,
46,G622902,2667A,62,甘肃,622900,6229,临夏回族自治州,临夏,临夏回族自治州,环保局,国控站,,Gansu,Linxia,103.2139,35.6039,3,622900491,
47,G330101,2011A,33,浙江,330185,3301,临安市,临安,临安市,四中,国控站,,Zhejiang,Lin'an,119.6947222,30.2319444,3,330185002,
